season,round,race_name,race_date,circuit_id,circuit_name,driver_id,driver_code,driver_name,constructor_id,constructor_name,grid,position,position_text,laps,status
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,3,1,1,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,4,2,2,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,11,3,3,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,villeneuve,VIL,Jacques Villeneuve,bar,BAR,8,4,4,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,9,5,5,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,zonta,ZON,Ricardo Zonta,bar,BAR,16,6,6,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,wurz,WUR,Alexander Wurz,benetton,Benetton,14,7,7,58,Finished
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,gene,,Marc Gené,minardi,Minardi,18,8,8,57,+1 Lap
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,heidfeld,HEI,Nick Heidfeld,prost,Prost,15,9,9,56,+2 Laps
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,salo,,Mika Salo,sauber,Sauber,10,10,D,58,Disqualified
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,button,BUT,Jenson Button,williams,Williams,21,11,R,46,Engine
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,diniz,,Pedro Diniz,sauber,Sauber,19,12,R,41,Transmission
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,mazzacane,,Gastón Mazzacane,minardi,Minardi,22,13,R,40,Gearbox
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,frentzen,,Heinz-Harald Frentzen,jordan,Jordan,5,14,R,39,Hydraulics
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,trulli,TRU,Jarno Trulli,jordan,Jordan,6,15,R,35,Engine
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,alesi,,Jean Alesi,prost,Prost,17,16,R,27,Hydraulics
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,hakkinen,,Mika Häkkinen,mclaren,McLaren,1,17,R,18,Engine
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,verstappen,,Jos Verstappen,arrows,Arrows,13,18,R,16,Suspension
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,coulthard,COU,David Coulthard,mclaren,McLaren,2,19,R,11,Engine
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,rosa,DLR,Pedro de la Rosa,arrows,Arrows,12,20,R,6,Suspension
2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,irvine,,Eddie Irvine,jaguar,Jaguar,7,21,R,6,Spun off
